school_year,cal_year,state,pct_students_enrolled,pct_students_enrolled_female,pct_students_enrolled_male,pct_students_enrolled_nonbinary,pct_students_black_population,pct_students_hispanic_population,pct_students_native_american_population,pct_students_native_hawaiian_population,pct_students_asian_population,pct_students_white_population,pct_students_two_races_population,pct_students_enrolled_black,pct_students_enrolled_hispanic,pct_students_enrolled_native,pct_students_enrolled_hawaiian,pct_students_enrolled_asian,pct_students_enrolled_white,pct_students_two_more_races,pct_students_ell_population,pct_students_frl_population,pct_students_504_population,pct_students_idea_population,pct_students_enrolled_ell,pct_students_enrolled_frl,pct_students_enrolled_504,pct_students_enrolled_iep
2023-24,2024,United States,0.064,0.325,0.675,0.007,0.15,0.29,0.01,0.004,0.05,0.45,0.05,0.17,0.20,0.01,0.00,0.13,0.46,0.041,0.11,0.53,0.03,0.15,0.07,0.39,0.04,0.1
2023-24,2024,Alabama,0.0787,0.373,0.627,0,0.32,0.11,0.01,0.001,0.01,0.52,0.03,0.31,0.1,0.02,0.01,0.09,0.52,0.04,0.05,0.6,0.02,0.13,0.04,0.57,0,0.09
2023-24,2024,Arizona,0.0225,0.213,0.784,0,0.06,0.48,0.04,0.004,0.03,0.35,0.04,0.06,0.4,0.02,0,0.05,0.4,0.04,0.08,0.5,0.02,0.13,0.03,0.45,0,0.1
2023-24,2024,Arkansas,0.1979,0.383,0.617,0,0.19,0.14,0.01,0.01,0.02,0.59,0.04,0.16,0.15,0.01,0.01,0.03,0.6,0.04,0.08,0.64,0.04,0.16,0.06,0.58,0.09,0.11
2023-24,2024,Connecticut,0.0853,0.301,0.698,0.001,0.13,0.3,0,0.001,0.05,0.47,0.04,0.11,0.27,0,0,0.12,0.47,0.04,0.09,0.42,0.05,0.17,0.06,0.37,0,0.11
2023-24,2024,Delaware,0.0467,0.269,0.731,0,0.3,0.19,0,0.002,0.04,0.4,0.05,0.27,0.12,0.01,0,0.12,0.44,0.04,0.12,0.25,0.03,0.19,0.04,0.13,0,0.1
2023-24,2024,Florida,0.0226,0.321,0.678,0,0.21,0.36,0,0.002,0.03,0.35,0.04,0.11,0.3,0,0,0.13,0.4,0.04,0.1,0.52,0.03,0.15,0.02,0.28,0,0.06
2023-24,2024,Georgia,0.0735,0.3,0.7,0,0.36,0.18,0,0.001,0.05,0.36,0.05,0.34,0.16,0,0,0.16,0.3,0.04,0.08,0.6,0.03,0.13,0.06,0,0,0.1
2023-24,2024,Hawaii,0.0355,0.288,0.712,0,0.01,0.18,0,0.261,0.25,0.11,0.19,0.01,0.14,0,0.16,0.4,0.12,0.17,0.1,0.46,0.02,0.12,0.07,0.31,0.05,0.06
2023-24,2024,Idaho,0.0216,0.263,0.737,0,0.01,0.19,0.01,0.003,0.01,0.74,0.03,0.01,0.16,0.01,0,0.04,0.75,0.04,0.06,0.35,0.03,0.12,0.03,0.22,0.1,0.05
