dataset_name,exam_year,school_year,bhnapi_students,single_race_students,tr_urg_students,tr_tot_students,cdo_multiplier
ap_urg_calc_completed,2017,2016-17,4418,12430,531,885,1.6880941602535084
ap_urg_calc_completed,2018,2017-18,10446,28885,1361,2093,1.7980892610041277
ap_urg_calc_completed,2019,2018-19,15856,44487,2135,3301,1.8146456742918928
ap_urg_calc_completed,2020,2019-20,15143,43875,1955,3162,1.791389825598115
ap_urg_calc_completed,2021,2020-21,16400,48929,1746,3084,1.6890883315934326
ap_urg_calc_completed,2022,2021-22,18293,48837,1965,3329,1.5758424781275957
ap_urg_calc_completed,2023,2022-23,19648,52648,2066,3590,1.5420533421647171
ap_urg_calc_started,2016,2015-16,581,1513,62,102,1.582903040734366
ap_urg_calc_started,2017,2016-17,19680,47520,2371,3521,1.6259862428218148
ap_urg_calc_started,2018,2017-18,66263,155565,8863,12459,1.6700841812924914
ap_urg_calc_started,2019,2018-19,110592,259850,14643,20552,1.674075267094342
ap_urg_calc_started,2020,2019-20,131549,296677,16624,23256,1.6121180448643968
ap_urg_calc_started,2021,2020-21,127831,285952,14222,20501,1.5518244163198849
ap_urg_calc_started,2022,2021-22,143687,303181,15731,22242,1.4923373148936858
ap_urg_calc_started,2023,2022-23,135714,281056,14835,21213,1.448283786500727
