district_id,month_closed,tier
100390,2024-08-08,1
100540,2024-09-18,1
101050,2024-09-18,2
101290,2024-04-29,1
102430,2024-03-26,2
200020,2024-11-20,3
200130,2024-05-10,3
200240,2024-04-22,3
200390,2024-03-25,4
200485,2024-11-20,2
200510,2024-04-15,4
200775,2024-03-25,3
345985,2024-08-30,1
401012,2024-08-01,1
401050,2024-04-24,2
405930,2024-03-26,2
407570,2024-05-16,2
407750,2024-03-27,2
409160,2024-04-08,2
409250,2024-07-30,1
425147,2025-02-10,1
500023,2024-04-09,1
502700,2024-05-16,2
502820,2024-11-04,1
502960,2024-04-11,1
503710,2024-05-01,1
508610,2024-04-09,1
539981,2025-01-16,1
601694,2024-11-18,1
601757,2025-03-18,1
601770,2024-08-16,2
602160,2024-05-05,2
604740,2024-11-08,1
605580,2024-03-25,1
606580,2025-01-21,1
609030,2024-03-25,2
609480,2024-09-18,2
609850,2024-07-17,2
612150,2024-11-18,1
614070,2024-03-25,1
614880,2024-03-25,2
620130,2024-06-06,2
622710,2024-03-21,2
622830,2024-04-17,2
623160,2025-04-24,1
625470,2024-05-16,2
625530,2024-05-30,2
625800,2024-09-12,2
628650,2024-09-03,3
630330,2025-04-10,1
632130,2024-03-25,1
633150,2024-05-13,3
634170,2024-06-03,3
634740,2024-07-18,1
636600,2024-03-25,2
637950,2024-03-25,2
638010,2024-07-17,1
691027,2024-03-21,1
691044,2024-03-25,2
803360,2025-02-10,2
804260,2025-01-31,1
806030,2024-07-25,1
806120,2024-03-26,2
806870,2024-08-05,1
867902,2024-12-04,1
900210,2024-04-17,2
900270,2024-04-12,2
901170,2025-04-22,1
901920,2024-03-26,1
902580,2025-04-25,1
902670,2024-03-26,2
902700,2024-06-10,2
903090,2024-08-29,1
903300,2025-03-24,1
903537,2024-04-12,1
904320,2024-03-26,1
904740,2024-04-11,2
925092,2024-08-22,1
1001240,2024-03-27,2
1011157,2024-09-23,1
1100030,2024-11-06,1
1200180,2025-04-03,2
1200390,2024-03-27,2
1200480,2024-04-02,4
1200810,2024-10-17,2
1201200,2024-08-07,2
1201230,2024-06-13,2
1201440,2024-05-17,3
1201500,2024-03-25,2
1201620,2024-04-04,2
1201740,2024-05-28,4
1201920,2024-03-28,2
1295669,2025-04-22,1
1300232,2024-08-02,2
1301260,2024-03-25,2
1301680,2024-04-29,3
1301710,2024-03-26,2
1301830,2024-06-06,2
1301980,2024-04-16,4
1303000,2024-03-26,2
1303930,2024-03-28,4
1304530,2024-03-26,2
1305220,2024-03-26,2
1305859,2024-09-11,2
1323654,2024-07-15,1
1500030,2024-03-26,2
1600060,2024-05-29,2
1600300,2024-05-07,2
1600510,2024-05-14,2
1601860,2024-05-03,2
1602640,2024-03-25,2
1615217,2024-08-24,1
1641054,2024-12-12,1
1647828,2024-08-15,1
1704920,2025-05-01,1
1705430,2025-03-20,1
1708430,2024-03-26,1
1713560,2024-03-27,1
1713710,2025-03-25,1
1717520,2024-03-26,2
1718840,2024-05-17,2
1730300,2025-02-20,1
1731140,2025-01-29,1
1734100,2024-06-13,2
1734440,2024-05-06,2
1736300,2024-10-28,1
1800042,2024-03-26,2
1800067,2024-04-22,1
1800630,2024-04-02,2
1801440,2024-03-26,2
1802550,2024-07-09,2
1802910,2025-01-13,1
1803630,2024-06-14,2
1803750,2024-03-27,2
1804170,2024-04-17,2
1804350,2024-03-27,2
1805190,2024-03-26,1
1805700,2024-03-27,2
1805880,2024-08-15,2
1805910,2024-08-05,2
1806120,2025-01-28,1
1806390,2025-02-11,1
1807020,2024-04-12,2
1807290,2024-04-16,2
1808970,2024-03-27,2
1810590,2024-03-26,2
1810900,2024-03-27,1
1905750,2024-04-18,2
1906540,2024-03-24,3
1908910,2024-03-27,2
1909480,2024-03-26,2
1912480,2024-05-01,2
1914640,2025-04-30,1
1914700,2024-05-29,2
1919140,2024-03-26,2
