district_id,school_year
200001,2024-25
200003,2024-25
200150,2024-25
200180,2024-25
200210,2024-25
200480,2024-25
200540,2024-25
200600,2024-25
200610,2024-25
200625,2024-25
200862,2024-25
600061,2024-25
601620,2024-25
602469,2024-25
607530,2024-25
607800,2024-25
610290,2024-25
612090,2024-25
614370,2024-25
619200,2024-25
630330,2024-25
631470,2024-25
633930,2024-25
634440,2024-25
634680,2024-25
635430,2024-25
637050,2024-25
641160,2024-25
691034,2024-25
691036,2024-25
1302280,2024-25
2200053,2024-25
2200060,2024-25
2200203,2024-25
2200240,2024-25
2200297,2024-25
2200300,2024-25
2200330,2024-25
2200360,2024-25
2200390,2024-25
2200660,2024-25
2200990,2024-25
2201200,2024-25
2702970,2024-25
2703450,2024-25
2707290,2024-25
2711250,2024-25
2721420,2024-25
2723850,2024-25
2725200,2024-25
2742160,2024-25
2803630,2024-25
2904620,2024-25
2912290,2024-25
2915480,2024-25
2923700,2024-25
2926670,2024-25
2929280,2024-25
3100016,2024-25
3100070,2024-25
3103120,2024-25
3103130,2024-25
3103810,2024-25
3170110,2024-25
3170710,2024-25
3172810,2024-25
3176860,2024-25
3178660,2024-25
3700012,2024-25
3700030,2024-25
3700347,2024-25
3700450,2024-25
3700480,2024-25
3700900,2024-25
3701140,2024-25
3702310,2024-25
3703270,2024-25
3703330,2024-25
3703450,2024-25
3703930,2024-25
3703990,2024-25
3704320,2024-25
3704720,2024-25
3704880,2024-25
3800038,2024-25
3805040,2024-25
3806780,2024-25
3811820,2024-25
3812540,2024-25
3813030,2024-25
3819020,2024-25
3904348,2024-25
3904375,2024-25
3904420,2024-25
3904422,2024-25
3904490,2024-25
3904504,2024-25
3904516,2024-25
3904601,2024-25
3904844,2024-25
4004500,2024-25
4010590,2024-25
4015720,2024-25
4017250,2024-25
4021000,2024-25
4021720,2024-25
4022770,2024-25
4023280,2024-25
4030600,2024-25
4031350,2024-25
4033480,2024-25
4700420,2024-25
4700510,2024-25
4700570,2024-25
4700630,2024-25
4701020,2024-25
4701590,2024-25
4701740,2024-25
4701800,2024-25
4702220,2024-25
4702520,2024-25
4702580,2024-25
4702640,2024-25
4702670,2024-25
4702760,2024-25
4702880,2024-25
4703030,2024-25
4703480,2024-25
4703690,2024-25
4703870,2024-25
4704290,2024-25
4704380,2024-25
4704440,2024-25
4704530,2024-25
4817880,2024-25
5300390,2024-25
5300420,2024-25
5302400,2024-25
5302670,2024-25
5302700,2024-25
5302820,2024-25
5303540,2024-25
5303570,2024-25
5303750,2024-25
5305910,2024-25
5307920,2024-25
5308250,2024-25
5308700,2024-25
5309660,2024-25
5310110,2024-25
5400720,2024-25
5400930,2024-25
5401380,2024-25
290100002281,2024-25
290746000211,2024-25
291619003346,2024-25
