exam_year,exam,pct_5,pct_4,pct_3,pct_2,pct_1,pct_passing,num_taking,avg_score
2024,Computer Science A,0.256,0.214,0.201,0.108,0.22,0.672,98136,3.18
2023,Computer Science A,0.268,0.224,0.188,0.095,0.225,0.68,94438,3.21
2022,Computer Science A,0.273,0.204,0.199,0.104,0.221,0.676,77753,3.2
2021,Computer Science A,0.239,0.219,0.193,0.121,0.228,0.651,63980,3.12
2020,Computer Science A,0.256,0.217,0.232,0.128,0.168,0.704,70580,3.26
2019,Computer Science A,0.267,0.219,0.21,0.119,0.184,0.696,69685,3.26
2018,Computer Science A,0.247,0.212,0.218,0.119,0.204,0.678,65133,3.18
2017,Computer Science A,0.242,0.209,0.219,0.115,0.215,0.67,60519,3.15
2016,Computer Science A,0.208,0.205,0.231,0.125,0.231,0.645,57937,3.04
2015,Computer Science A,0.244,0.246,0.152,0.072,0.285,0.643,48994,3.09
2014,Computer Science A,0.213,0.231,0.168,0.077,0.311,0.612,39278,2.96
2013,Computer Science A,0.266,0.266,0.139,0.07,0.259,0.671,31117,3.21
2012,Computer Science A,0.236,0.243,0.156,0.077,0.287,0.636,26103,3.06
2011,Computer Science A,0.249,0.248,0.142,0.079,0.282,0.639,22176,3.1
2010,Computer Science A,0.263,0.247,0.139,0.079,0.271,0.65,20120,3.15
2009,Computer Science A,0.232,0.206,0.161,0.074,0.165,0.621,16622,3.04
2008,Computer Science A,0.217,0.217,0.139,0.09,0.337,0.573,15537,2.89
2007,Computer Science A,0.193,0.228,0.145,0.095,0.339,0.566,15049,2.84
2006,Computer Science A,0.219,0.222,0.144,0.077,0.337,0.585,14662,2.91
2005,Computer Science A,0.179,0.232,0.149,0.099,0.34,0.561,13924,2.81
2004,Computer Science A,0.186,0.236,0.153,0.094,0.331,0.575,14337,2.85
2003,Computer Science A,0.171,0.245,0.196,0.092,0.296,0.612,14674,2.9
2002,Computer Science A,0.195,0.253,0.184,0.087,0.28,0.632,15660,2.99
2024,Computer Science Principles,0.109,0.2,0.331,0.203,0.157,0.64,175261,2.9
2023,Computer Science Principles,0.115,0.206,0.311,0.205,0.164,0.631,164505,2.9
2022,Computer Science Principles,0.114,0.21,0.311,0.199,0.166,0.635,134651,2.91
2021,Computer Science Principles,0.124,0.217,0.325,0.199,0.136,0.666,102610,2.99
2020,Computer Science Principles,0.109,0.236,0.371,0.198,0.086,0.716,116751,3.09
2019,Computer Science Principles,0.138,0.21,0.371,0.188,0.093,0.719,96105,3.11
2018,Computer Science Principles,0.14,0.211,0.361,0.197,0.092,0.712,72187,3.11
2017,Computer Science Principles,0.138,0.217,0.391,0.183,0.072,0.745,44330,3.17
