school_year,school_year_int,start_date,end_date,school_year_long
2013-14,2013,2013-07-01,2014-07-01,2013-2014
2014-15,2014,2014-07-01,2015-07-01,2014-2015
2015-16,2015,2015-07-01,2016-07-01,2015-2016
2016-17,2016,2016-07-01,2017-07-01,2016-2017
2017-18,2017,2017-07-01,2018-07-01,2017-2018
2018-19,2018,2018-07-01,2019-07-01,2018-2019
2019-20,2019,2019-07-01,2020-07-01,2019-2020
2020-21,2020,2020-07-01,2021-07-01,2020-2021
2021-22,2021,2021-07-01,2022-07-01,2021-2022
2022-23,2022,2022-07-01,2023-07-01,2022-2023
2023-24,2023,2023-07-01,2024-07-01,2023-2024
2024-25,2024,2024-07-01,2025-07-01,2024-2025
2025-26,2025,2025-07-01,2026-07-01,2025-2026
2026-27,2026,2026-07-01,2027-07-01,2026-2027
2027-28,2027,2027-07-01,2028-07-01,2027-2028
2028-29,2028,2028-07-01,2029-07-01,2028-2029
2029-30,2029,2029-07-01,2030-07-01,2029-2030
