school_year,school_year_int,started_at,ended_at
2013-14,2013,2013-06-01 00:00:00,2014-05-31 23:59:59
2014-15,2014,2014-06-01 00:00:00,2015-05-31 23:59:59
2015-16,2015,2015-06-01 00:00:00,2016-05-31 23:59:59
2016-17,2016,2016-06-01 00:00:00,2017-05-31 23:59:59
2017-18,2017,2017-06-01 00:00:00,2018-05-31 23:59:59
2018-19,2018,2018-06-01 00:00:00,2019-05-31 23:59:59
2019-20,2019,2019-06-01 00:00:00,2020-05-31 23:59:59
2020-21,2020,2020-06-01 00:00:00,2021-05-31 23:59:59
2021-22,2021,2021-06-01 00:00:00,2022-05-31 23:59:59
2022-23,2022,2022-06-01 00:00:00,2023-05-30 23:59:59
2023-24,2023,2023-06-01 00:00:00,2024-05-31 23:59:59
